Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
31831002,no job,no job,no job,no job,no job,has job,has job,has job,has job
31900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
31900051,no job,no job,no job,no job,no job,no job,no job,no job,has job
31900052,no job,no job,no job,no job,no job,no job,has job,has job,no job
31911002,no job,no job,no job,no job,has job,has job,has job,has job,has job
31911001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
31931002,has job,has job,has job,has job,has job,has job,has job,has job,has job
32000005,has job,has job,has job,has job,has job,has job,has job,has job,has job
32031002,has job,has job,has job,has job,has job,has job,has job,has job,has job
32031005,has job,has job,has job,has job,has job,has job,has job,has job,has job
32400007,has job,has job,has job,has job,has job,has job,has job,has job,has job
32400008,no job,no job,no job,no job,no job,has job,has job,has job,has job
32400051,has job,has job,has job,has job,has job,has job,has job,has job,has job
32431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
32431002,no job,has job,has job,has job,has job,has job,has job,has job,has job
32432001,has job,has job,has job,has job,has job,has job,has job,has job,has job
32432007,has job,has job,has job,has job,has job,has job,has job,has job,has job
32500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
32500005,has job,has job,has job,has job,has job,has job,has job,has job,has job
32600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
32600004,no job,no job,no job,no job,no job,no job,has job,has job,has job
32600031,no job,no job,no job,no job,has job,has job,has job,has job,has job
32700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
32800031,no job,no job,no job,no job,no job,no job,no job,no job,has job
32831007,no job,no job,no job,has job,has job,has job,has job,has job,has job
32900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
32900002,has job,has job,has job,has job,has job,has job,has job,has job,has job
32900035,no job,no job,no job,no job,no job,no job,no job,no job,has job
33000003,no job,no job,no job,no job,has job,has job,has job,has job,has job
33000005,no job,no job,no job,no job,has job,has job,has job,no job,has job
40100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40200052,no job,no job,no job,no job,no job,no job,no job,no job,has job
40300003,no job,no job,no job,no job,no job,no job,has job,has job,has job
40321001,has job,has job,has job,has job,has job,has job,has job,has job,no job
40321009,no job,has job,has job,has job,has job,has job,has job,has job,no job
40321004,no job,no job,no job,no job,no job,no job,no job,no job,has job
40400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40400003,has job,has job,no job,no job,no job,has job,no job,has job,has job
40400006,no job,no job,has job,has job,has job,has job,has job,no job,no job
40500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
40500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
40600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
40700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
40700032,no job,no job,no job,no job,no job,no job,no job,no job,no job
