Person,2007,2008,2009,2010,2011,2012,2013,2014
731100006,no job,no job,has job,has job,has job,has job,has job,has job
731100007,no job,no job,no job,has job,has job,has job,has job,has job
731300001,has job,has job,has job,has job,has job,has job,has job,has job
731400001,no job,no job,no job,no job,no job,no job,no job,6
731400031,has job,has job,has job,has job,has job,has job,has job,has job
731400041,no job,no job,no job,no job,no job,no job,has job,has job
731400032,has job,has job,has job,has job,has job,has job,has job,has job
731441007,has job,has job,has job,has job,has job,has job,has job,has job
731400042,no job,no job,no job,has job,has job,has job,has job,has job
731600031,no job,no job,no job,no job,has job,has job,has job,has job
731600008,has job,has job,has job,has job,has job,has job,has job,has job
731700001,has job,has job,has job,has job,has job,has job,has job,has job
731700002,has job,has job,has job,has job,has job,has job,has job,has job
731700003,no job,no job,no job,has job,has job,has job,has job,has job
731700006,has job,has job,has job,has job,has job,has job,has job,has job
731842001,has job,has job,has job,has job,has job,has job,has job,has job
731931002,has job,has job,has job,has job,has job,has job,has job,has job
731941001,has job,has job,has job,has job,has job,has job,has job,has job
731900051,no job,no job,no job,no job,no job,no job,no job,has job
731942001,has job,has job,has job,has job,has job,has job,has job,has job
731900071,has job,has job,has job,has job,has job,has job,has job,has job
731900008,no job,no job,no job,has job,has job,has job,has job,has job
731931001,has job,has job,has job,has job,has job,has job,has job,has job
731900052,has job,has job,has job,has job,has job,has job,has job,has job
731931003,no job,no job,no job,no job,no job,no job,no job,no job
731941002,no job,has job,no job,no job,no job,no job,no job,no job
740200031,has job,has job,has job,has job,has job,has job,has job,6
740200005,has job,has job,has job,has job,has job,has job,has job,6
740200032,has job,has job,has job,has job,no job,no job,no job,6
740300003,has job,has job,has job,has job,has job,has job,has job,6
740341001,has job,has job,has job,has job,has job,has job,has job,6
740342002,has job,has job,has job,has job,has job,has job,has job,6
7403000011,no job,no job,no job,no job,no job,no job,has job,6
7403000014,no job,no job,no job,no job,no job,no job,has job,6
740342003,no job,no job,no job,no job,no job,no job,no job,6
740343001,has job,has job,has job,has job,has job,has job,has job,6
740300101,has job,has job,has job,has job,has job,has job,has job,6
740400001,has job,has job,has job,has job,has job,has job,has job,has job
740421001,has job,has job,has job,has job,has job,has job,has job,6
740400031,no job,no job,no job,has job,has job,has job,has job,has job
740600002,has job,has job,has job,has job,has job,has job,has job,6
740641001,has job,has job,has job,has job,has job,has job,has job,has job
740642001,has job,has job,has job,has job,has job,has job,has job,has job
740600006,has job,has job,has job,has job,has job,has job,has job,6
740641002,has job,has job,has job,has job,has job,no job,no job,no job
740900005,has job,has job,has job,has job,has job,has job,has job,6
741000001,has job,has job,has job,has job,has job,has job,has job,6
741000002,has job,has job,has job,has job,has job,has job,has job,6
741000003,no job,no job,no job,no job,no job,no job,no job,6
741100002,no job,no job,no job,no job,no job,no job,has job,has job
741141001,no job,no job,no job,no job,no job,has job,has job,has job
741100006,has job,has job,has job,has job,has job,has job,has job,has job
741200001,has job,has job,has job,has job,has job,has job,has job,6
741200002,has job,has job,has job,has job,has job,has job,has job,6
741200003,has job,no job,has job,has job,has job,has job,has job,6
741221002,no job,no job,has job,has job,has job,has job,has job,6
741221042,no job,no job,no job,no job,has job,has job,has job,6
741221005,no job,no job,no job,no job,no job,has job,no job,6
741300002,has job,has job,has job,no job,no job,no job,no job,6
741341001,has job,has job,has job,has job,has job,has job,has job,6
741300005,has job,has job,no job,has job,has job,has job,has job,6
741300007,has job,has job,has job,has job,has job,has job,has job,6
741300009,has job,no job,no job,no job,no job,no job,has job,6
7413000010,no job,no job,no job,no job,no job,no job,no job,6
7413000013,no job,no job,no job,no job,no job,has job,no job,6
7413000015,no job,no job,no job,no job,no job,no job,no job,6
741341002,no job,no job,no job,has job,has job,no job,no job,6
741342001,no job,no job,no job,no job,no job,no job,no job,6
741421003,no job,no job,no job,no job,no job,has job,has job,6
741700001,has job,has job,has job,has job,has job,has job,has job,6
741700022,has job,has job,has job,has job,no job,no job,has job,6
741700003,no job,no job,no job,no job,has job,has job,no job,6
741700021,has job,has job,has job,has job,has job,has job,has job,6
741943003,no job,no job,no job,no job,no job,no job,no job,no job
742000005,has job,has job,has job,has job,has job,has job,has job,6
742000061,has job,has job,has job,has job,has job,has job,has job,6
7420000012,has job,has job,has job,has job,has job,has job,has job,6
742000062,has job,has job,has job,has job,has job,has job,has job,6
744200001,has job,has job,has job,has job,has job,has job,has job,6
744200021,has job,has job,has job,has job,has job,has job,has job,has job
744200031,has job,has job,has job,no job,has job,has job,has job,6
744200004,has job,has job,has job,has job,has job,has job,no job,6
744241002,no job,no job,no job,no job,no job,no job,has job,6
744241001,has job,has job,has job,has job,has job,has job,has job,6
750100002,has job,has job,has job,has job,has job,has job,has job,6
750141001,has job,has job,no job,no job,no job,no job,no job,no job
750100004,has job,no job,has job,no job,has job,has job,has job,6
750300001,has job,has job,has job,has job,has job,has job,has job,6
750300002,has job,has job,has job,has job,has job,has job,has job,6
750300033,has job,has job,has job,has job,has job,has job,has job,no job
750300004,has job,has job,has job,has job,has job,has job,has job,6
750300005,no job,no job,no job,has job,has job,has job,has job,6
750500002,has job,has job,has job,has job,has job,has job,has job,6
750541001,has job,has job,has job,has job,has job,has job,has job,has job
750500005,has job,has job,has job,has job,has job,has job,has job,6
750542002,has job,has job,has job,has job,has job,has job,has job,has job
750600003,has job,has job,has job,no job,no job,has job,no job,6
750600005,has job,has job,has job,has job,has job,has job,has job,6
750800006,has job,has job,has job,has job,has job,has job,has job,6
750841002,has job,no job,no job,no job,no job,no job,no job,6
751100003,no job,no job,no job,no job,no job,no job,no job,has job
751400001,has job,has job,has job,has job,has job,has job,has job,6
751400021,no job,no job,has job,has job,has job,has job,has job,has job
751400031,no job,no job,no job,no job,no job,has job,no job,6
751431001,has job,has job,has job,has job,has job,has job,has job,has job
751600003,no job,no job,has job,has job,no job,no job,no job,no job
751600005,no job,no job,no job,no job,no job,no job,has job,has job
751711002,has job,has job,has job,has job,has job,has job,has job,6
751731001,has job,has job,has job,has job,has job,has job,has job,has job
751711004,no job,has job,has job,has job,has job,has job,has job,6
751740001,has job,has job,has job,has job,has job,has job,has job,6
751941001,has job,has job,has job,has job,has job,has job,has job,6
751900051,has job,has job,has job,has job,has job,has job,has job,has job
751900053,has job,has job,has job,has job,has job,has job,has job,has job
754100001,has job,has job,has job,has job,has job,has job,has job,6
754100002,no job,no job,no job,no job,has job,has job,has job,6
754100041,has job,has job,has job,has job,has job,has job,has job,6
754300003,has job,has job,has job,has job,has job,has job,has job,6
754300004,has job,has job,has job,has job,has job,has job,has job,6
760142001,has job,has job,has job,has job,has job,has job,has job,has job
760100042,has job,has job,has job,has job,has job,has job,has job,has job
760233002,has job,has job,has job,has job,has job,has job,has job,has job
760233001,has job,has job,has job,has job,has job,has job,has job,has job
760300041,has job,has job,has job,has job,has job,has job,has job,has job
760300044,no job,no job,no job,has job,has job,has job,has job,has job
760400003,no job,no job,has job,has job,has job,has job,has job,6
760400052,has job,has job,has job,has job,has job,has job,has job,6
760400051,has job,has job,has job,has job,has job,has job,has job,6
760800001,has job,has job,has job,has job,has job,has job,has job,6
760841002,has job,has job,has job,has job,has job,has job,has job,6
760841001,has job,has job,has job,has job,has job,has job,has job,6
761000008,no job,no job,no job,no job,no job,no job,has job,6
761131002,has job,has job,has job,has job,has job,no job,no job,6
761100005,no job,no job,no job,no job,has job,has job,has job,has job
761200005,has job,has job,has job,has job,has job,has job,has job,6
761600002,has job,has job,has job,has job,has job,has job,has job,6
761641002,has job,has job,has job,has job,has job,has job,has job,6
761641001,has job,has job,has job,has job,has job,has job,has job,6
761831002,has job,has job,has job,has job,has job,has job,has job,has job
761831001,has job,has job,has job,has job,has job,has job,has job,has job
762000001,no job,no job,no job,no job,no job,no job,no job,6
764100001,has job,has job,has job,has job,has job,has job,has job,6
764100002,has job,has job,has job,has job,has job,no job,no job,6
764100003,no job,no job,no job,no job,has job,has job,has job,6
764100005,no job,no job,no job,no job,no job,has job,has job,6
770100002,has job,has job,has job,has job,has job,has job,has job,6
770100003,has job,has job,has job,has job,has job,has job,has job,6
770141001,has job,has job,has job,has job,has job,has job,has job,6
770241001,has job,has job,has job,has job,has job,has job,has job,has job
770232002,has job,has job,has job,has job,has job,has job,has job,has job
7702000011,no job,no job,no job,no job,has job,has job,has job,6
770231001,has job,has job,has job,has job,has job,has job,has job,has job
770232001,has job,has job,has job,no job,no job,has job,has job,has job
771100001,has job,has job,has job,has job,has job,has job,has job,6
771241002,has job,has job,has job,has job,has job,has job,has job,has job
771231002,has job,no job,no job,no job,no job,no job,has job,has job
771400005,has job,has job,has job,has job,has job,has job,has job,6
771400006,no job,no job,no job,no job,no job,has job,has job,6
771400007,no job,no job,no job,no job,no job,has job,has job,6
771500001,no job,no job,no job,no job,no job,no job,no job,6
771600002,no job,no job,no job,has job,has job,has job,has job,6
771831001,has job,has job,has job,has job,has job,has job,has job,6
771831002,no job,no job,no job,no job,no job,no job,no job,6
774131002,no job,no job,no job,no job,no job,has job,has job,6
774131003,no job,no job,no job,no job,no job,no job,no job,6
774341001,has job,has job,has job,has job,has job,has job,has job,6
774300002,has job,has job,has job,has job,has job,has job,has job,6
774300003,no job,has job,has job,has job,has job,has job,has job,6
774300005,no job,no job,no job,no job,no job,has job,has job,6
774341002,has job,has job,has job,has job,has job,has job,has job,6
774500002,has job,has job,has job,has job,has job,has job,has job,6
774500003,has job,has job,has job,has job,has job,has job,has job,6
774500004,no job,no job,no job,no job,no job,no job,has job,6
774600001,has job,has job,has job,has job,has job,has job,has job,6
774600003,has job,has job,has job,has job,has job,has job,has job,6
774600041,has job,has job,has job,has job,has job,has job,has job,has job
774600005,no job,no job,has job,has job,has job,has job,has job,6
774600007,no job,no job,no job,no job,no job,no job,has job,6
7746000010,has job,has job,has job,has job,has job,has job,has job,6
774600042,has job,has job,has job,has job,has job,has job,has job,has job
774700001,has job,has job,has job,has job,has job,has job,has job,6
774700041,no job,no job,no job,no job,no job,has job,has job,6
774700006,has job,has job,has job,has job,has job,has job,has job,6
774700051,has job,has job,has job,has job,has job,has job,has job,6
7748320010,has job,has job,has job,has job,has job,has job,has job,has job
780400003,has job,has job,has job,has job,has job,has job,has job,6
780441001,has job,has job,has job,has job,has job,has job,has job,has job
780441003,no job,no job,no job,no job,no job,no job,no job,has job
780500004,has job,has job,has job,has job,has job,has job,has job,6
780600001,has job,has job,has job,has job,has job,has job,has job,6
780600003,has job,has job,has job,has job,has job,has job,has job,6
780600004,has job,has job,has job,has job,has job,has job,has job,6
780700003,no job,no job,no job,no job,no job,no job,no job,6
780700009,has job,has job,has job,has job,has job,has job,has job,6
7807000010,no job,no job,no job,no job,no job,no job,has job,6
7807000014,no job,no job,no job,no job,no job,no job,no job,6
780742001,has job,has job,has job,has job,has job,has job,has job,6
780800001,has job,has job,has job,has job,has job,has job,has job,6
780800005,no job,has job,has job,has job,has job,has job,has job,6
780800007,no job,no job,no job,no job,no job,no job,has job,6
781041003,has job,has job,has job,has job,has job,has job,no job,no job
781000002,no job,no job,has job,has job,has job,has job,has job,6
781000006,has job,has job,has job,has job,has job,has job,has job,6
781142001,has job,has job,no job,no job,has job,has job,has job,has job
781143001,has job,has job,has job,has job,has job,has job,has job,has job
781144001,has job,has job,has job,has job,has job,has job,has job,has job
781145002,no job,no job,no job,no job,has job,no job,no job,has job
781141002,no job,no job,no job,has job,has job,has job,has job,no job
781142002,no job,no job,no job,no job,no job,has job,has job,has job
781144002,has job,has job,no job,no job,no job,no job,no job,no job
781145001,has job,has job,has job,has job,has job,has job,has job,has job
781200001,has job,has job,has job,has job,has job,has job,has job,6
781200002,has job,has job,has job,has job,has job,has job,has job,6
781200003,has job,has job,has job,has job,has job,has job,has job,6
781241001,has job,has job,has job,has job,has job,has job,has job,6
781242001,has job,has job,has job,has job,has job,has job,has job,6
781200006,has job,has job,has job,has job,has job,no job,has job,6
781200007,has job,has job,has job,has job,has job,has job,has job,6
781241002,has job,no job,no job,no job,no job,no job,no job,6
781331002,has job,has job,has job,has job,has job,has job,has job,has job
781331001,has job,has job,has job,has job,has job,has job,has job,has job
781500001,has job,has job,has job,has job,has job,has job,has job,6
781500003,no job,no job,no job,no job,no job,no job,no job,6
781700004,has job,has job,has job,has job,has job,has job,has job,6
781700005,no job,no job,no job,no job,no job,no job,no job,6
781700009,no job,no job,no job,has job,has job,has job,has job,6
781800004,no job,no job,no job,no job,has job,has job,has job,6
782000002,has job,has job,has job,has job,has job,has job,has job,has job
782000032,has job,has job,has job,has job,has job,has job,no job,no job
782000004,no job,no job,no job,no job,has job,has job,has job,has job
782000031,no job,no job,has job,has job,has job,has job,has job,has job
784100007,has job,has job,has job,no job,no job,no job,no job,6
784341001,has job,has job,has job,has job,has job,has job,has job,has job
784331001,has job,has job,has job,has job,has job,has job,has job,has job
784341002,has job,has job,has job,has job,has job,has job,has job,has job
784400002,no job,no job,no job,has job,has job,has job,has job,has job
790200005,has job,has job,has job,has job,has job,has job,has job,has job
790200007,has job,has job,has job,has job,has job,has job,has job,has job
790200008,no job,no job,no job,no job,no job,has job,has job,no job
790200009,no job,no job,no job,no job,no job,has job,has job,has job
790300002,has job,has job,has job,has job,has job,has job,has job,6
790441002,has job,has job,has job,has job,has job,has job,has job,has job
790442001,has job,has job,has job,has job,has job,has job,has job,has job
790441001,has job,has job,has job,has job,has job,has job,has job,has job
790442002,has job,has job,has job,has job,has job,has job,has job,has job
790500001,has job,has job,has job,has job,has job,has job,has job,has job
790500002,has job,has job,has job,has job,has job,has job,has job,has job
790700001,has job,has job,has job,has job,has job,has job,has job,has job
790700002,has job,has job,has job,has job,has job,has job,has job,has job
790700005,has job,has job,has job,no job,no job,no job,has job,has job
790900001,has job,has job,has job,has job,has job,has job,has job,no job
790900002,no job,no job,no job,no job,no job,no job,no job,no job
790900003,no job,has job,has job,has job,has job,has job,no job,has job
790900042,no job,has job,has job,has job,has job,no job,no job,no job
790900051,no job,no job,no job,no job,no job,no job,no job,no job
790900008,no job,no job,no job,no job,no job,has job,has job,has job
790900041,has job,has job,has job,has job,has job,has job,has job,has job
791000002,has job,has job,has job,no job,has job,has job,has job,6
791000003,has job,has job,has job,has job,has job,has job,has job,6
791000004,no job,no job,no job,has job,has job,has job,has job,6
791100003,has job,has job,has job,has job,has job,has job,has job,6
791100005,no job,no job,no job,has job,has job,has job,has job,6
791131001,has job,has job,has job,has job,has job,has job,has job,has job
791100008,has job,has job,has job,has job,has job,has job,has job,6
791141001,has job,has job,has job,has job,has job,has job,has job,has job
791400001,has job,has job,has job,has job,has job,has job,has job,has job
791400003,has job,has job,has job,has job,has job,has job,has job,has job
791700001,has job,has job,has job,has job,has job,has job,has job,6
791700002,has job,has job,no job,has job,has job,has job,has job,6
791700031,no job,no job,no job,no job,no job,no job,has job,6
791700004,has job,has job,has job,no job,has job,has job,has job,6
794100002,no job,no job,no job,no job,no job,no job,has job,6
794100006,has job,has job,has job,has job,has job,has job,has job,6
794141001,has job,has job,has job,has job,has job,has job,has job,6
794341002,no job,no job,no job,no job,no job,no job,no job,has job
794333007,has job,has job,has job,has job,has job,has job,has job,6
800911003,no job,no job,no job,has job,has job,has job,has job,has job
800912003,has job,has job,has job,has job,has job,has job,has job,has job
801100002,has job,has job,has job,has job,has job,has job,has job,has job
801100003,has job,has job,has job,has job,has job,has job,has job,has job
801141001,has job,has job,has job,has job,has job,has job,has job,has job
801100006,has job,has job,has job,has job,has job,has job,has job,has job
801200042,no job,no job,no job,no job,no job,no job,no job,no job
8012000015,no job,no job,no job,no job,no job,no job,has job,has job
801321002,has job,has job,has job,has job,has job,has job,has job,has job
801842001,has job,has job,has job,has job,has job,has job,has job,has job
801842002,has job,has job,has job,has job,has job,has job,has job,has job
810111003,has job,has job,has job,has job,has job,has job,has job,has job
810200002,has job,has job,has job,has job,has job,no job,no job,no job
810300003,has job,has job,has job,has job,has job,has job,has job,6
810300061,has job,has job,has job,has job,has job,has job,has job,6
810300072,no job,no job,no job,no job,has job,has job,has job,6
810400001,has job,has job,has job,has job,has job,has job,has job,6
810400002,has job,has job,has job,has job,has job,has job,has job,6
810400005,has job,has job,has job,has job,has job,has job,has job,6
810400008,no job,no job,no job,no job,no job,no job,no job,6
810600061,has job,has job,has job,has job,has job,has job,has job,6
810600009,has job,has job,has job,has job,has job,has job,has job,6
8106000013,has job,has job,has job,has job,has job,no job,no job,6
810631002,no job,no job,no job,no job,no job,has job,has job,6
810700002,has job,has job,has job,has job,has job,has job,has job,6
810800003,no job,no job,no job,no job,no job,no job,no job,6
811011001,has job,has job,has job,has job,has job,has job,has job,has job
811041001,has job,has job,has job,has job,has job,has job,has job,has job
811000005,has job,has job,has job,has job,has job,has job,has job,6
811000008,has job,has job,has job,has job,has job,has job,has job,6
811000009,has job,has job,has job,has job,has job,has job,no job,6
8110000010,no job,no job,no job,no job,has job,has job,no job,6
8110000016,no job,no job,has job,has job,has job,has job,has job,6
8110000017,no job,has job,has job,has job,has job,has job,has job,6
8110000018,no job,no job,no job,no job,no job,no job,no job,6
811041002,no job,no job,no job,no job,no job,no job,has job,has job
811041003,no job,no job,no job,no job,no job,no job,no job,has job
811431002,no job,no job,has job,has job,has job,has job,has job,6
811500001,no job,has job,no job,no job,no job,no job,has job,6
811500003,no job,has job,has job,has job,has job,has job,has job,6
811500005,no job,no job,no job,no job,no job,no job,has job,6
811500061,no job,no job,no job,has job,has job,has job,has job,6
811500007,no job,no job,no job,no job,no job,no job,has job,6
8115000010,has job,has job,has job,has job,has job,has job,has job,has job
811500062,has job,has job,has job,has job,has job,has job,has job,6
811800001,has job,has job,has job,has job,has job,has job,has job,6
811800003,has job,has job,has job,has job,has job,has job,has job,6
811800007,no job,no job,no job,no job,no job,no job,has job,has job
811800009,no job,no job,no job,no job,no job,no job,no job,6
8118000010,no job,no job,no job,no job,no job,has job,no job,6
8118000013,no job,no job,no job,no job,has job,has job,has job,6
812000002,has job,has job,has job,has job,has job,has job,has job,6
820200003,no job,no job,no job,no job,no job,no job,has job,6
820200004,no job,no job,has job,has job,has job,has job,has job,6
820200005,no job,no job,no job,has job,has job,has job,no job,6
820200008,has job,has job,has job,has job,has job,has job,has job,6
820341001,no job,no job,has job,has job,has job,has job,has job,has job
820300004,has job,has job,has job,has job,has job,has job,has job,6
820300008,has job,has job,has job,has job,has job,has job,has job,6
820341002,no job,no job,no job,no job,no job,no job,no job,no job
820400002,no job,no job,no job,no job,no job,no job,has job,6
820412002,no job,no job,has job,has job,has job,has job,has job,6
820400004,has job,has job,has job,has job,has job,has job,has job,6
820400006,no job,no job,has job,has job,has job,no job,no job,6
820500001,has job,has job,has job,has job,has job,has job,has job,6
820531001,has job,has job,has job,has job,has job,has job,has job,6
820500042,no job,no job,no job,no job,no job,no job,no job,6
820541001,has job,has job,has job,has job,has job,has job,has job,6
820531002,has job,has job,has job,has job,has job,has job,has job,6
820531032,no job,no job,no job,no job,has job,has job,no job,6
820500041,has job,has job,has job,has job,has job,has job,has job,6
820500043,no job,no job,no job,no job,no job,no job,no job,6
820600072,has job,has job,has job,has job,has job,has job,has job,6
820641003,has job,has job,has job,has job,has job,has job,has job,6
820641004,no job,no job,no job,no job,no job,no job,has job,6
8206000010,no job,has job,has job,has job,has job,has job,has job,6
8206000012,no job,no job,no job,no job,no job,has job,has job,6
8206000013,no job,no job,no job,no job,no job,no job,has job,6
820631001,has job,has job,has job,has job,has job,has job,has job,6
820631003,no job,no job,no job,no job,no job,no job,has job,6
820700001,has job,has job,has job,has job,has job,has job,has job,6
820700002,has job,has job,has job,has job,has job,has job,has job,6
820700005,no job,has job,has job,has job,has job,has job,has job,6
820700007,has job,has job,has job,has job,has job,has job,has job,6
821000003,no job,no job,no job,has job,has job,has job,has job,has job
821141001,has job,has job,has job,has job,has job,has job,has job,has job
821142001,has job,has job,has job,has job,has job,has job,has job,has job
821143001,no job,no job,no job,no job,no job,no job,has job,has job
821141002,no job,no job,no job,no job,no job,no job,no job,has job
821142002,has job,has job,has job,has job,has job,has job,has job,has job
821143004,has job,has job,has job,has job,has job,has job,has job,has job
821241001,has job,has job,has job,has job,has job,has job,has job,6
821241002,has job,has job,has job,has job,has job,has job,has job,6
821300002,has job,has job,has job,has job,has job,has job,has job,has job
821300008,has job,has job,has job,has job,has job,has job,has job,has job
821400001,no job,no job,no job,no job,no job,no job,no job,no job
821400032,has job,has job,has job,has job,has job,has job,has job,6
821500001,has job,has job,has job,has job,has job,has job,has job,6
821541001,has job,has job,has job,has job,has job,has job,has job,6
821500005,has job,has job,has job,has job,has job,has job,has job,6
821500006,has job,has job,has job,has job,has job,has job,has job,6
821511001,has job,has job,has job,has job,has job,has job,has job,6
821511002,has job,has job,has job,has job,has job,has job,has job,6
821511061,has job,has job,has job,has job,has job,has job,has job,6
821511005,no job,no job,has job,has job,has job,has job,has job,6
821511062,no job,no job,no job,no job,no job,no job,has job,6
821600001,no job,no job,no job,no job,no job,no job,no job,6
821600002,has job,no job,no job,no job,has job,has job,has job,6
821631001,has job,has job,has job,has job,has job,has job,has job,has job
821641001,has job,has job,has job,has job,has job,has job,has job,has job
821632002,no job,no job,no job,no job,no job,no job,no job,6
821632001,has job,has job,has job,has job,has job,has job,has job,6
821800001,has job,has job,has job,has job,has job,has job,has job,6
821800003,no job,no job,no job,has job,no job,has job,has job,has job
830500003,has job,has job,no job,no job,has job,has job,has job,6
830500041,has job,has job,has job,has job,has job,has job,has job,has job
830500005,has job,has job,has job,has job,has job,has job,has job,6
830500006,no job,no job,no job,no job,no job,has job,has job,6
830500042,has job,has job,has job,has job,has job,has job,no job,no job
830641002,has job,no job,no job,no job,has job,has job,no job,6
830642001,has job,has job,has job,has job,has job,has job,has job,has job
830641001,has job,has job,has job,has job,has job,has job,has job,6
830800003,has job,has job,has job,has job,has job,has job,has job,6
830800005,no job,no job,no job,no job,no job,no job,no job,6
830900001,has job,has job,has job,has job,has job,has job,no job,has job
830900002,has job,has job,has job,has job,has job,has job,has job,has job
830900032,no job,has job,no job,no job,no job,no job,no job,no job
830900031,has job,has job,has job,has job,has job,has job,has job,has job
831042001,has job,no job,no job,no job,no job,no job,no job,6
831042003,has job,has job,has job,has job,has job,has job,has job,has job
831043001,has job,has job,has job,has job,has job,has job,has job,has job
831131002,has job,has job,has job,has job,has job,has job,has job,6
831132002,has job,has job,has job,has job,has job,has job,has job,6
831100009,has job,has job,no job,no job,no job,no job,no job,6
8311000010,has job,has job,has job,has job,has job,has job,has job,6
8311000011,has job,has job,has job,has job,has job,has job,has job,6
831131001,has job,has job,has job,has job,has job,has job,has job,6
831132001,has job,has job,has job,has job,has job,has job,has job,6
831200002,has job,has job,has job,has job,has job,has job,has job,6
831200051,has job,has job,has job,has job,has job,has job,has job,6
831200061,no job,no job,no job,no job,no job,no job,no job,6
831200052,has job,has job,has job,has job,has job,has job,has job,6
831300002,no job,no job,no job,no job,no job,no job,has job,6
831300004,no job,no job,no job,no job,no job,no job,has job,6
831300005,has job,has job,has job,has job,has job,has job,has job,6
831300008,has job,has job,has job,has job,has job,has job,has job,6
831400001,has job,has job,has job,has job,has job,has job,has job,6
831400002,has job,no job,no job,no job,no job,no job,no job,6
831400031,has job,has job,has job,has job,has job,has job,has job,6
831400005,has job,has job,no job,has job,has job,has job,has job,6
831400032,no job,has job,has job,no job,no job,no job,no job,6
831500001,has job,has job,has job,has job,has job,has job,has job,6
831600002,has job,has job,has job,has job,has job,has job,has job,6
831600005,has job,has job,has job,has job,has job,has job,has job,6
831600006,no job,no job,no job,has job,has job,has job,no job,no job
831700002,no job,no job,no job,no job,no job,no job,has job,has job
831741001,has job,has job,has job,has job,has job,has job,has job,has job
831731002,no job,no job,has job,has job,has job,has job,has job,6
831731001,has job,has job,has job,has job,has job,has job,has job,6
831731003,no job,no job,no job,no job,no job,no job,has job,6
831741002,no job,no job,no job,no job,no job,no job,no job,no job
831800002,no job,no job,no job,no job,no job,no job,no job,6
831831002,no job,no job,no job,no job,no job,no job,has job,6
831800006,no job,no job,no job,no job,no job,no job,has job,6
831831001,no job,no job,no job,no job,has job,no job,no job,6
831900001,has job,has job,has job,has job,has job,has job,has job,has job
831932003,has job,has job,has job,has job,has job,has job,has job,has job
831900033,no job,no job,no job,no job,no job,no job,has job,has job
831932006,no job,no job,no job,no job,no job,no job,has job,has job
834200006,has job,has job,has job,has job,has job,has job,has job,6
8342000010,no job,no job,no job,no job,no job,no job,no job,6
834400006,no job,no job,has job,has job,has job,has job,has job,6
840100001,has job,has job,has job,has job,has job,has job,has job,6
840200004,has job,has job,has job,has job,has job,has job,has job,has job
840242001,has job,no job,has job,has job,has job,has job,has job,6
840241001,has job,has job,has job,has job,has job,has job,has job,6
840400001,has job,has job,has job,has job,has job,has job,has job,6
840400022,has job,has job,has job,has job,has job,has job,has job,6
840521001,has job,has job,no job,no job,no job,no job,no job,6
840531001,has job,has job,has job,has job,has job,has job,has job,6
840541001,has job,has job,has job,has job,has job,has job,has job,6
840531005,no job,no job,no job,no job,has job,has job,has job,6
840531007,no job,no job,no job,no job,no job,no job,has job,6
840531008,no job,no job,no job,no job,no job,no job,has job,6
840500032,no job,no job,no job,no job,has job,has job,has job,has job
840631002,no job,no job,no job,no job,no job,no job,no job,no job
840600041,has job,has job,has job,has job,has job,has job,has job,has job
840611002,has job,has job,has job,has job,has job,has job,has job,6
8406000010,has job,has job,has job,has job,has job,has job,has job,has job
8406000012,no job,no job,has job,has job,has job,no job,no job,no job
840700001,has job,has job,no job,no job,no job,no job,no job,6
840700008,has job,has job,has job,has job,has job,has job,has job,6
840700092,has job,has job,has job,has job,has job,has job,has job,6
840700111,has job,has job,has job,has job,has job,has job,has job,has job
8407000012,has job,has job,has job,has job,has job,has job,has job,6
8407000013,no job,no job,no job,no job,no job,no job,no job,6
8407000015,no job,no job,no job,no job,has job,has job,has job,6
8407000017,has job,has job,has job,has job,has job,has job,has job,6
840731003,no job,no job,has job,has job,has job,has job,has job,6
840731006,has job,no job,no job,no job,no job,no job,has job,6
840731007,no job,no job,no job,no job,no job,no job,has job,6
840731008,no job,no job,no job,no job,no job,no job,no job,6
840731009,no job,no job,no job,no job,no job,no job,no job,6
840700091,has job,has job,has job,has job,has job,has job,has job,6
840700112,no job,no job,has job,has job,no job,has job,no job,no job
841000001,has job,has job,has job,has job,has job,has job,has job,6
841000004,no job,no job,no job,no job,has job,no job,has job,6
8411000012,no job,no job,no job,no job,no job,no job,no job,6
841300002,has job,has job,has job,has job,has job,has job,has job,6
841300003,has job,has job,has job,has job,has job,has job,has job,6
841300004,no job,no job,has job,has job,has job,has job,no job,6
841300007,no job,no job,no job,no job,no job,no job,has job,6
841500001,has job,has job,has job,has job,has job,has job,has job,6
841600001,has job,has job,has job,has job,has job,has job,has job,6
841600002,no job,no job,no job,no job,no job,no job,no job,6
841600007,no job,has job,has job,has job,has job,has job,has job,6
841600008,no job,no job,has job,has job,has job,has job,has job,6
841600031,has job,has job,has job,has job,has job,has job,has job,has job
842000002,has job,has job,has job,has job,has job,has job,has job,6
850100005,has job,has job,has job,has job,has job,has job,has job,6
850200021,no job,no job,has job,has job,has job,has job,has job,6
850200005,has job,has job,has job,has job,has job,has job,has job,has job
850200006,has job,has job,has job,has job,has job,no job,no job,no job
850200071,no job,no job,no job,has job,has job,has job,has job,has job
850200081,has job,has job,has job,has job,has job,has job,has job,has job
850200022,has job,no job,no job,no job,no job,has job,has job,6
850231001,has job,has job,has job,has job,has job,has job,has job,6
850200073,no job,no job,no job,has job,has job,no job,no job,no job
850200083,has job,no job,no job,no job,no job,no job,no job,no job
850300006,has job,has job,has job,has job,has job,has job,has job,has job
850500002,has job,has job,has job,has job,has job,has job,has job,has job
850531002,has job,has job,has job,has job,has job,has job,has job,has job
850542002,no job,no job,no job,no job,no job,no job,has job,6
