Person,2007,2008,2009,2010,2011,2012,2013,2014
30500002,has job,has job,has job,has job,has job,has job,has job,6
30500032,has job,has job,has job,has job,has job,has job,has job,has job
30541002,has job,has job,has job,has job,has job,has job,has job,6
30500005,has job,has job,has job,has job,has job,has job,has job,6
30500061,has job,has job,has job,has job,has job,has job,has job,has job
30500007,has job,has job,has job,has job,has job,has job,has job,6
30500008,no job,no job,has job,has job,has job,has job,has job,no job
305000010,has job,has job,has job,has job,has job,has job,has job,has job
30541001,has job,has job,has job,has job,has job,has job,has job,6
30500031,has job,has job,has job,has job,has job,has job,has job,has job
30700002,has job,has job,has job,has job,has job,has job,has job,6
30800002,has job,has job,has job,has job,has job,has job,has job,6
30800009,no job,no job,no job,no job,no job,no job,has job,6
30900002,has job,has job,has job,has job,has job,has job,has job,6
30900051,has job,has job,has job,has job,has job,has job,has job,has job
30941001,no job,no job,no job,no job,has job,has job,has job,has job
31211001,has job,has job,has job,has job,has job,has job,has job,6
309000019,no job,no job,no job,no job,no job,no job,no job,6
30941002,has job,has job,has job,has job,has job,has job,has job,has job
31000003,has job,has job,has job,has job,has job,has job,has job,6
31041001,has job,has job,has job,has job,has job,has job,has job,6
31042002,has job,has job,has job,has job,has job,has job,has job,6
31041002,has job,has job,has job,has job,has job,has job,has job,6
31041003,no job,no job,no job,no job,has job,has job,has job,6
31042001,has job,has job,has job,has job,has job,has job,has job,6
31100001,has job,has job,has job,has job,has job,has job,has job,6
31100002,has job,has job,has job,has job,has job,has job,has job,6
31100032,no job,no job,no job,no job,has job,has job,has job,has job
31100005,no job,no job,no job,no job,no job,no job,no job,6
31100031,has job,has job,has job,has job,no job,no job,no job,no job
31200001,has job,has job,has job,has job,has job,has job,has job,6
31200002,has job,has job,has job,has job,has job,has job,has job,6
31241001,no job,no job,no job,no job,has job,has job,has job,has job
31242001,no job,no job,no job,no job,has job,has job,has job,has job
31211002,has job,has job,has job,has job,has job,has job,has job,6
31211003,has job,has job,has job,has job,has job,has job,has job,6
31300002,has job,has job,has job,has job,has job,has job,has job,6
31300007,no job,no job,no job,no job,has job,has job,has job,6
31341005,no job,has job,has job,has job,has job,no job,no job,no job
31431002,no job,no job,no job,no job,no job,no job,has job,6
31400005,has job,has job,has job,has job,has job,has job,has job,6
31400006,has job,has job,has job,has job,has job,has job,has job,6
31500001,has job,has job,has job,no job,no job,no job,no job,6
31500002,has job,has job,has job,has job,has job,has job,has job,6
31500032,no job,no job,no job,no job,no job,no job,no job,has job
31500009,has job,has job,has job,has job,has job,has job,has job,6
31500031,has job,has job,has job,has job,has job,has job,has job,has job
31700001,no job,no job,no job,no job,no job,no job,has job,6
31700021,no job,no job,no job,no job,no job,has job,has job,has job
31731001,has job,has job,has job,has job,has job,has job,has job,6
31731002,has job,has job,has job,has job,has job,has job,has job,6
31700062,no job,no job,no job,no job,no job,no job,no job,no job
31800002,has job,has job,has job,has job,has job,has job,has job,6
31841002,has job,has job,has job,has job,has job,has job,has job,6
31831002,has job,has job,has job,has job,has job,has job,has job,6
31800052,has job,has job,no job,no job,has job,has job,has job,has job
31842001,no job,no job,has job,has job,has job,has job,has job,has job
31800007,no job,no job,no job,no job,no job,no job,has job,6
31831004,has job,has job,has job,has job,has job,has job,has job,6
31841001,has job,has job,has job,has job,has job,has job,has job,6
31842002,has job,has job,has job,has job,has job,has job,has job,has job
31800051,no job,no job,has job,has job,has job,has job,has job,has job
31900001,has job,has job,has job,has job,has job,has job,has job,6
31931001,has job,has job,has job,has job,has job,has job,has job,6
31911002,no job,no job,no job,has job,has job,has job,has job,6
31911001,has job,has job,has job,has job,has job,has job,has job,6
31931002,has job,has job,has job,has job,has job,has job,has job,6
31941002,no job,no job,no job,no job,no job,no job,no job,6
32031002,has job,has job,has job,has job,has job,has job,has job,6
32000041,has job,has job,has job,has job,has job,has job,has job,has job
32000005,has job,has job,has job,has job,has job,has job,has job,6
320000010,no job,no job,has job,has job,has job,has job,has job,6
32031005,has job,has job,has job,has job,has job,has job,has job,6
32431001,has job,has job,has job,has job,has job,has job,has job,6
32432001,has job,has job,has job,has job,has job,has job,has job,6
32431002,has job,has job,has job,has job,has job,has job,has job,6
32400007,has job,has job,has job,has job,has job,has job,has job,6
32400008,has job,has job,has job,has job,has job,has job,has job,6
324000010,no job,no job,no job,no job,has job,has job,has job,6
32432007,has job,has job,has job,has job,has job,has job,has job,6
32441001,has job,has job,has job,has job,has job,has job,has job,has job
32500004,has job,has job,has job,has job,has job,has job,has job,6
32500005,has job,has job,has job,has job,has job,has job,has job,6
32500007,has job,has job,has job,has job,has job,has job,has job,6
32500009,no job,no job,no job,no job,no job,has job,has job,6
32600001,has job,has job,has job,has job,has job,has job,has job,6
32641001,has job,has job,has job,has job,has job,has job,has job,has job
32600041,has job,has job,has job,has job,has job,has job,has job,has job
32600051,no job,no job,no job,no job,has job,has job,has job,has job
32600061,has job,has job,has job,has job,has job,has job,has job,has job
32600009,has job,has job,has job,has job,has job,has job,has job,6
32641002,no job,no job,no job,no job,no job,has job,has job,has job
