hhid14_9,pid14,movenum,mg21bx,mg21cx,mg21dx,mg21ex,mg21e,mg21d,mg21c,mg21b,mg24x,mg24mth,mg24yr,mg25,mg26,mg27x,mg27,mg28,mg29,mg30,mg31,mg34a,mg34,mg35,mg36,mg39,mg40,hhid14,pidlink,version,module
048010005,2,3,3,3,3,3,62,16,4,11,1,98,2009,NA,5,1,2,4,NA,NA,NA,NA,3,NA,,3,NA,0480150,048015002,1.3,B3A_MG2
048033100,1,1,3,3,3,3,62,16,4,11,1,7,2009,NA,1,1,7,2,NA,NA,3,NA,1,4,AG,3,NA,0480331,048030004,1.3,B3A_MG2
048033100,2,1,3,3,3,3,62,16,4,11,1,98,2008,NA,1,1,20,13,NA,NA,NA,NA,1,3,AG,3,NA,0480331,048033102,1.3,B3A_MG2
048050003,1,1,1,1,1,3,62,31,71,60,1,98,2013,NA,3,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0480551,048050003,1.3,B3A_MG2
048050003,1,2,1,1,1,3,62,16,4,11,1,2,2014,NA,1,8,NA,12,NA,NA,NA,NA,3,NA,,1,NA,0480551,048050003,1.3,B3A_MG2
048050003,1,3,3,3,3,3,62,36,3,120,1,8,2014,NA,3,8,NA,1,1,1,NA,NA,3,NA,,3,NA,0480551,048050003,1.3,B3A_MG2
048070000,6,1,8,1,1,3,62,19,71,998,1,6,2008,NA,3,8,NA,13,NA,NA,NA,NA,3,NA,,1,NA,0480700,048070006,1.3,B3A_MG2
048070000,6,2,3,3,3,3,62,16,4,11,1,10,2009,NA,1,8,NA,9,NA,NA,NA,NA,3,NA,,1,NA,0480700,048070006,1.3,B3A_MG2
048070000,6,3,1,1,3,3,62,16,12,10,1,10,2012,NA,3,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0480700,048070006,1.3,B3A_MG2
048070000,6,4,3,3,3,3,62,16,4,11,1,9,2013,NA,1,8,NA,1,1,2,NA,NA,3,NA,,3,NA,0480700,048070006,1.3,B3A_MG2
048073100,4,1,1,1,3,3,62,16,73,30,1,7,2009,NA,5,1,30,2,NA,NA,1,NA,3,NA,,1,NA,0480731,048073104,1.3,B3A_MG2
048073100,4,2,3,3,3,3,62,16,4,11,1,1,2014,NA,1,1,30,9,NA,NA,NA,NA,3,NA,,3,NA,0480731,048073104,1.3,B3A_MG2
