Geographical Unit,2007,2008,2009,2010,2011,2012,2013,2014
Java,0.25,0.26,0.25,0.25,0.24,0.22,0.19,0.48
Kalimantan,0.3,0.32,0.31,0.26,0.25,0.23,0.17,0.44
Maluku Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nusa Tenggara (Lesser Sunda Islands),0.28,0.28,0.27,0.28,0.26,0.21,0.18,0.6
Papua (Western New Guinea),1.0,1.0,1.0,0.5,0.0,,,
Sulawesi,0.3,0.34,0.33,0.32,0.26,0.2,0.15,0.35
Sumatra,0.25,0.26,0.27,0.25,0.24,0.21,0.18,0.43
Unknown,0.48,0.46,0.43,0.41,0.36,0.33,0.28,0.36
