GeoUnit,Province,Sector,2007,2008,2009,2010,2011,2012,2013,2014
Java,Central Java,No Job,0.2513513513513513,0.2616088947024199,0.2519045200609446,0.2566225165562913,0.247377938517179,0.2256294383473208,0.1977252843394575,0.490956749672346
Java,Central Java,Primary,0.0882882882882882,0.0810987573577501,0.0832910106653123,0.0819536423841059,0.0842676311030741,0.0852162685603615,0.089530475357247,0.0338138925294888
Java,Central Java,Secondary,0.1738738738738738,0.1837802485284499,0.1874047739969527,0.1945364238410596,0.1985533453887884,0.196578437701743,0.2050160396617089,0.1404980340760157
Java,Central Java,Tertiary,0.4864864864864865,0.47351209941138,0.4773996952767902,0.466887417218543,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
Java,DI Yogyakarta,No Job,0.2513513513513513,0.2616088947024199,0.2519045200609446,0.2566225165562913,0.247377938517179,0.2256294383473208,0.1977252843394575,0.490956749672346
Java,DI Yogyakarta,Primary,0.0882882882882882,0.0810987573577501,0.0832910106653123,0.0819536423841059,0.0842676311030741,0.0852162685603615,0.089530475357247,0.0338138925294888
Java,DI Yogyakarta,Secondary,0.1738738738738738,0.1837802485284499,0.1874047739969527,0.1945364238410596,0.1985533453887884,0.196578437701743,0.2050160396617089,0.1404980340760157
Java,DI Yogyakarta,Tertiary,0.4864864864864865,0.47351209941138,0.4773996952767902,0.466887417218543,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
Java,DKI Jakarta,No Job,0.2513513513513513,0.2616088947024199,0.2519045200609446,0.2566225165562913,0.247377938517179,0.2256294383473208,0.1977252843394575,0.490956749672346
Java,DKI Jakarta,Primary,0.0882882882882882,0.0810987573577501,0.0832910106653123,0.0819536423841059,0.0842676311030741,0.0852162685603615,0.089530475357247,0.0338138925294888
Java,DKI Jakarta,Secondary,0.1738738738738738,0.1837802485284499,0.1874047739969527,0.1945364238410596,0.1985533453887884,0.196578437701743,0.2050160396617089,0.1404980340760157
Java,DKI Jakarta,Tertiary,0.4864864864864865,0.47351209941138,0.4773996952767902,0.466887417218543,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
Java,East Java,No Job,0.2513513513513513,0.2616088947024199,0.2519045200609446,0.2566225165562913,0.247377938517179,0.2256294383473208,0.1977252843394575,0.490956749672346
Java,East Java,Primary,0.0882882882882882,0.0810987573577501,0.0832910106653123,0.0819536423841059,0.0842676311030741,0.0852162685603615,0.089530475357247,0.0338138925294888
Java,East Java,Secondary,0.1738738738738738,0.1837802485284499,0.1874047739969527,0.1945364238410596,0.1985533453887884,0.196578437701743,0.2050160396617089,0.1404980340760157
Java,East Java,Tertiary,0.4864864864864865,0.47351209941138,0.4773996952767902,0.466887417218543,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
Java,West Java,No Job,0.2513513513513513,0.2616088947024199,0.2519045200609446,0.2566225165562913,0.247377938517179,0.2256294383473208,0.1977252843394575,0.490956749672346
Java,West Java,Primary,0.0882882882882882,0.0810987573577501,0.0832910106653123,0.0819536423841059,0.0842676311030741,0.0852162685603615,0.089530475357247,0.0338138925294888
Java,West Java,Secondary,0.1738738738738738,0.1837802485284499,0.1874047739969527,0.1945364238410596,0.1985533453887884,0.196578437701743,0.2050160396617089,0.1404980340760157
Java,West Java,Tertiary,0.4864864864864865,0.47351209941138,0.4773996952767902,0.466887417218543,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
Kalimantan,Central Kalimantan,No Job,0.3193277310924369,0.3385416666666667,0.32,0.2643312101910828,0.256,0.2331002331002331,0.1751662971175166,0.4523809523809524
Kalimantan,Central Kalimantan,Primary,0.2857142857142857,0.265625,0.272,0.286624203821656,0.2826666666666667,0.282051282051282,0.2815964523281596,0.1753246753246753
Kalimantan,Central Kalimantan,Secondary,0.0672268907563025,0.0729166666666666,0.084,0.0923566878980891,0.0906666666666666,0.0932400932400932,0.0909090909090909,0.0844155844155844
Kalimantan,Central Kalimantan,Tertiary,0.3277310924369748,0.3229166666666667,0.324,0.3566878980891719,0.3706666666666666,0.3916083916083916,0.4523281596452328,0.2878787878787879
Kalimantan,East Kalimantan,No Job,0.3193277310924369,0.3385416666666667,0.32,0.2643312101910828,0.256,0.2331002331002331,0.1751662971175166,0.4523809523809524
Kalimantan,East Kalimantan,Primary,0.2857142857142857,0.265625,0.272,0.286624203821656,0.2826666666666667,0.282051282051282,0.2815964523281596,0.1753246753246753
Kalimantan,East Kalimantan,Secondary,0.0672268907563025,0.0729166666666666,0.084,0.0923566878980891,0.0906666666666666,0.0932400932400932,0.0909090909090909,0.0844155844155844
Kalimantan,East Kalimantan,Tertiary,0.3277310924369748,0.3229166666666667,0.324,0.3566878980891719,0.3706666666666666,0.3916083916083916,0.4523281596452328,0.2878787878787879
Kalimantan,South Kalimantan,No Job,0.3193277310924369,0.3385416666666667,0.32,0.2643312101910828,0.256,0.2331002331002331,0.1751662971175166,0.4523809523809524
Kalimantan,South Kalimantan,Primary,0.2857142857142857,0.265625,0.272,0.286624203821656,0.2826666666666667,0.282051282051282,0.2815964523281596,0.1753246753246753
Kalimantan,South Kalimantan,Secondary,0.0672268907563025,0.0729166666666666,0.084,0.0923566878980891,0.0906666666666666,0.0932400932400932,0.0909090909090909,0.0844155844155844
Kalimantan,South Kalimantan,Tertiary,0.3277310924369748,0.3229166666666667,0.324,0.3566878980891719,0.3706666666666666,0.3916083916083916,0.4523281596452328,0.2878787878787879
