index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.25135135135135134,0.2616088947024199,0.25190452006094466,0.25662251655629137,0.247377938517179,0.22562943834732085,0.19772528433945757,0.490956749672346
Primary,0.08828828828828829,0.08109875735775017,0.08329101066531235,0.08195364238410596,0.08426763110307414,0.08521626856036152,0.08953047535724701,0.03381389252948886
Secondary,0.17387387387387387,0.18378024852844996,0.18740477399695277,0.1945364238410596,0.19855334538878844,0.19657843770174305,0.20501603966170895,0.14049803407601572
Tertiary,0.4864864864864865,0.47351209941138,0.47739969527679027,0.46688741721854304,0.4698010849909584,0.4925758553905746,0.5077282006415864,0.3347313237221494
