index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.27972027972027974,0.2803030303030303,0.27631578947368424,0.2807017543859649,0.25957446808510637,0.2088607594936709,0.1838150289017341,0.6073245167853509
Primary,0.16083916083916083,0.16161616161616163,0.17105263157894737,0.16905901116427433,0.17872340425531916,0.1949367088607595,0.19190751445086704,0.038657171922685654
Secondary,0.0979020979020979,0.09848484848484848,0.09962406015037593,0.09728867623604466,0.09787234042553192,0.10506329113924051,0.10404624277456648,0.056968463886063074
Tertiary,0.46153846153846156,0.4595959595959596,0.45300751879699247,0.4529505582137161,0.46382978723404256,0.4911392405063291,0.5202312138728323,0.2970498474059003
