index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Primary,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.0
Secondary,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Tertiary,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.3333333333333333,1.0
