index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.31932773109243695,0.3385416666666667,0.32,0.2643312101910828,0.256,0.2331002331002331,0.17516629711751663,0.4523809523809524
Primary,0.2857142857142857,0.265625,0.272,0.28662420382165604,0.2826666666666667,0.28205128205128205,0.28159645232815966,0.17532467532467533
Secondary,0.06722689075630252,0.07291666666666667,0.084,0.09235668789808917,0.09066666666666667,0.09324009324009325,0.09090909090909091,0.08441558441558442
Tertiary,0.3277310924369748,0.3229166666666667,0.324,0.35668789808917195,0.37066666666666664,0.3916083916083916,0.4523281596452328,0.2878787878787879
