index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.45934101606882,0.43507972665148065,0.40864939870490286,0.3731430235945237,0.320251758607923,0.2755511022044088,0.225130890052356,0.26976744186046514
Primary,0.10550235351403993,0.10497342444950646,0.1080018501387604,0.11505971453539178,0.12106627175120326,0.12174348697394789,0.12041884816753927,0.07906976744186046
Secondary,0.12140886219769519,0.12927107061503418,0.13043478260869565,0.13807165744247013,0.15327656423546834,0.18086172344689377,0.18997756170531038,0.22790697674418606
Tertiary,0.3137477682194449,0.33067577828397876,0.35291396854764107,0.3737256044276143,0.40540540540540543,0.4218436873747495,0.4644727000747943,0.4232558139534884
