index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.2472972972972973,0.2625754527162978,0.2725099601593626,0.2530040053404539,0.2422650321074139,0.21013727560718057,0.18046912398276688,0.4352580927384077
Primary,0.3027027027027027,0.28470824949698187,0.2613545816733068,0.2636849132176235,0.2726211325160537,0.27243928194297784,0.2704643370033509,0.17279090113735784
Secondary,0.0972972972972973,0.08551307847082495,0.09083665338645418,0.08210947930574099,0.08873321657910099,0.0955649419218585,0.1057922450933461,0.06517935258092739
Tertiary,0.3527027027027027,0.3672032193158954,0.3752988047808765,0.40120160213618156,0.3963806187974314,0.4218585005279831,0.44327429392053613,0.32677165354330706
