index,2007,2008,2009,2010,2011,2012,2013,2014
No Job,0.3013698630136986,0.34615384615384615,0.336322869955157,0.3244274809160305,0.2651006711409396,0.2018348623853211,0.15211267605633802,0.35353535353535354
Primary,0.1917808219178082,0.18681318681318682,0.17488789237668162,0.1717557251908397,0.18456375838926176,0.19571865443425077,0.19718309859154928,0.1388888888888889
Secondary,0.136986301369863,0.10989010989010989,0.10762331838565023,0.09541984732824428,0.11073825503355705,0.10703363914373089,0.12112676056338029,0.07323232323232323
Tertiary,0.3698630136986301,0.35714285714285715,0.3811659192825112,0.4083969465648855,0.4395973154362416,0.4954128440366973,0.5295774647887324,0.43434343434343436
