Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
42422002,has job,has job,has job,has job,has job,has job,has job,has job,has job
81731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
91700005,has job,has job,has job,has job,has job,has job,has job,has job,has job
151931006,has job,has job,has job,has job,has job,,has job,has job,has job
201032001,has job,has job,has job,has job,has job,has job,has job,has job,has job
270100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
270300004,has job,has job,has job,has job,has job,has job,has job,has job,has job
270300031,,,,has job,has job,has job,has job,has job,has job
270900011,has job,has job,has job,has job,has job,has job,has job,has job,has job
271100004,,,,,,,,has job,has job
271100005,,,,,,,,,has job
272632002,has job,has job,has job,has job,has job,has job,has job,has job,has job
341000004,has job,has job,has job,has job,has job,has job,has job,has job,has job
341600071,,,has job,has job,has job,has job,has job,has job,has job
400800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
401831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
402600008,,,,,,,has job,has job,has job
410100004,,,has job,has job,has job,has job,has job,has job,has job
460100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
460200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
460400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
460800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
461100001,has job,has job,has job,has job,,has job,has job,has job,has job
461400001,has job,has job,has job,has job,has job,has job,has job,,
461600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
461800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
461821006,,,,has job,has job,has job,has job,has job,has job
461900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
462000005,,,,,,,has job,,
481700031,,,has job,has job,has job,has job,has job,has job,has job
510800004,has job,has job,has job,has job,has job,has job,has job,has job,has job
511400005,,,,,,has job,has job,has job,has job
552012001,has job,has job,has job,has job,has job,has job,has job,has job,has job
560600031,has job,has job,has job,has job,has job,has job,has job,has job,has job
572100004,,,,,has job,has job,has job,has job,has job
610700005,,,,,,,has job,has job,has job
612500007,,,,,,has job,has job,has job,has job
650200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
650400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
771500001,has job,has job,,,,,,,
1092500005,,,,,,has job,has job,has job,has job
1093000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1131800061,has job,has job,has job,has job,has job,has job,has job,has job,has job
11416000014,has job,has job,has job,has job,has job,has job,has job,has job,has job
1270200005,,,,,,,has job,has job,
1270200007,has job,has job,has job,has job,has job,has job,has job,has job,
1270200035,has job,has job,has job,has job,has job,has job,has job,has job,
1270600041,has job,has job,has job,has job,has job,has job,has job,has job,
1270631001,,,,has job,has job,has job,has job,has job,
1270632001,,,has job,has job,has job,has job,has job,has job,
1270700003,has job,has job,has job,has job,has job,has job,has job,has job,
1271000001,has job,has job,has job,has job,has job,has job,has job,has job,
1271000003,,,,,,has job,has job,has job,
1271000004,has job,has job,has job,has job,has job,has job,has job,has job,
1271300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
1271500052,,,,,,,has job,has job,
1271700004,has job,has job,has job,has job,has job,has job,has job,has job,
1272300007,has job,has job,has job,has job,has job,has job,has job,has job,
1272400001,has job,has job,has job,has job,has job,has job,has job,has job,
1272400003,has job,has job,has job,has job,has job,has job,has job,has job,
1272500031,has job,has job,has job,has job,has job,has job,has job,has job,
1272700031,has job,has job,has job,has job,has job,has job,has job,has job,
1273000001,has job,has job,has job,has job,has job,has job,has job,has job,
1302831003,has job,has job,,,has job,,has job,has job,has job
1311400022,has job,has job,has job,has job,has job,has job,has job,has job,has job
1422511001,has job,has job,has job,has job,has job,has job,has job,has job,
1540100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
1620400003,,,has job,has job,has job,has job,has job,has job,has job
1621000003,,,,,,,,,has job
1621800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
1691300021,,,,,,,,has job,has job
1692700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
