Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
180500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
180500006,has job,has job,has job,has job,has job,has job,has job,has job,has job
180600007,has job,has job,has job,has job,has job,has job,has job,has job,has job
180800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
181200004,has job,has job,has job,has job,has job,has job,has job,has job,has job
181631002,,has job,has job,has job,has job,has job,has job,has job,has job
1908000010,,,,,,,,,has job
190831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
201500006,has job,has job,has job,has job,has job,has job,has job,has job,has job
210100001,,,,has job,has job,has job,has job,has job,has job
210500042,,,has job,has job,has job,,,has job,has job
211000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
211131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
211732001,,,,,,,,has job,has job
211800051,has job,has job,has job,has job,has job,has job,has job,has job,has job
211900003,,,,,,,has job,has job,has job
220800032,,,,,,has job,has job,has job,has job
221100042,has job,has job,has job,has job,has job,has job,has job,has job,
221600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
221800051,has job,has job,has job,has job,has job,has job,has job,has job,
221800052,has job,has job,has job,has job,has job,has job,has job,has job,
221811001,has job,has job,has job,has job,has job,has job,has job,has job,has job
240300042,has job,has job,,,,has job,has job,,
240332001,has job,has job,has job,has job,has job,has job,has job,has job,has job
240400004,,,,has job,has job,has job,has job,has job,has job
2404000012,has job,has job,has job,has job,has job,,,,
240400062,,has job,has job,has job,,,,,
240400061,has job,has job,has job,has job,has job,has job,has job,has job,has job
240421001,has job,has job,has job,has job,has job,has job,has job,has job,has job
240500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2406000010,,,,,has job,has job,has job,has job,has job
240700004,,,has job,has job,has job,has job,,,
240900061,has job,has job,has job,has job,has job,has job,has job,has job,has job
240912001,has job,has job,has job,has job,has job,has job,has job,has job,has job
241400003,,,,,,,,has job,has job
241400052,,has job,has job,has job,,,,,
241431008,,,has job,has job,has job,has job,,,
2417000010,has job,has job,has job,has job,has job,has job,has job,has job,has job
241731002,has job,has job,has job,has job,has job,has job,has job,has job,has job
242000006,has job,has job,has job,has job,has job,has job,has job,has job,has job
2421000010,has job,has job,has job,has job,has job,has job,has job,has job,has job
250800062,,,,,has job,has job,has job,has job,has job
251000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
251000042,has job,has job,has job,has job,has job,has job,has job,has job,has job
251300051,,,,has job,has job,has job,has job,has job,has job
251500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
251500008,,,,,,,has job,has job,has job
251600006,,,,,,,has job,has job,
2519320013,,,,,,,,has job,has job
261800002,,,,,has job,has job,has job,has job,has job
270100009,has job,has job,has job,has job,has job,has job,,has job,has job
270613007,,,has job,has job,has job,has job,has job,has job,has job
270700041,has job,has job,has job,has job,has job,has job,has job,has job,has job
270900003,,,,has job,has job,,,,has job
271800051,has job,has job,has job,has job,has job,has job,has job,has job,has job
272000009,has job,has job,has job,has job,has job,has job,has job,has job,has job
2743110013,,,,has job,has job,has job,has job,has job,has job
281831006,has job,has job,has job,has job,has job,has job,has job,has job,has job
282200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
283000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
283000031,has job,has job,has job,has job,has job,has job,has job,has job,has job
290300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
290700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
291100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
291211001,has job,has job,has job,has job,has job,has job,has job,has job,has job
291731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
2929000012,,,,,,,,,has job
300111001,has job,has job,has job,has job,has job,has job,has job,has job,has job
