Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
341600001,,,has job,has job,has job,has job,,,has job
341631001,has job,,,,,,,,
341800006,,,,,,,,,has job
341900005,,,,,has job,has job,has job,has job,has job
3504000010,has job,has job,has job,has job,has job,has job,has job,has job,
350900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
350900005,,,,,,has job,has job,has job,has job
351300007,,has job,has job,has job,has job,has job,has job,has job,
351900001,has job,has job,has job,has job,has job,has job,has job,has job,
3541000011,has job,has job,has job,has job,has job,has job,has job,has job,
354300091,,,,has job,has job,has job,has job,has job,has job
360100004,has job,has job,has job,has job,has job,has job,has job,has job,has job
360231001,has job,has job,has job,has job,has job,has job,has job,has job,has job
360600001,has job,has job,,,,,,,
361200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
371200006,,,has job,has job,has job,has job,has job,has job,has job
371200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
371231008,has job,has job,has job,has job,,,,,
371800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
380100008,has job,has job,has job,has job,has job,has job,has job,has job,
380300031,,,,,,,has job,has job,has job
381211001,has job,has job,has job,has job,has job,has job,has job,has job,has job
390100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
390100006,,,,,,,,has job,has job
390100031,has job,has job,has job,has job,has job,has job,has job,has job,has job
391132003,has job,has job,has job,has job,has job,has job,has job,has job,has job
391600051,,,,has job,has job,has job,has job,has job,has job
401800004,has job,has job,has job,has job,has job,has job,has job,has job,has job
420500007,has job,has job,has job,has job,has job,has job,has job,has job,has job
421500091,,has job,has job,has job,has job,has job,has job,has job,has job
422000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
422600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
422900005,,,,,has job,has job,has job,has job,has job
440600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
441300005,has job,has job,has job,has job,has job,has job,has job,has job,has job
441600003,,,,,,,,has job,has job
451533002,has job,has job,has job,has job,has job,has job,has job,has job,has job
451832001,has job,has job,has job,has job,has job,has job,has job,has job,has job
