hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
061073100-1,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061073100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061093100-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061110004-2,NA,NA,NA,NA,NA,NA,998 - 71 - 16 - 62,998 - 71 - 16 - 62,40 - 7 - 18 - 62,998 - 73 - 31 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061110006-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061110007-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061113100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62
061113100-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62
061114100-1,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061114100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061120000-12,NA,NA,NA,NA,NA,NA,NA,NA,21 - 7 - 18 - 62,21 - 7 - 18 - 62,21 - 7 - 18 - 62,21 - 7 - 18 - 62,21 - 7 - 18 - 62,21 - 7 - 18 - 62,21 - 7 - 18 - 62
061130003-1,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 6 - 16 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061130003-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061130005-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061140000-6,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061140000-9,NA,NA,NA,NA,NA,998 - 73 - 31 - 62,998 - 5 - 18 - 62,998 - 5 - 18 - 62,60 - 5 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061140004-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061150000-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061150006-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 31 - 62,70 - 74 - 31 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061160000-6,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061160008-3,NA,NA,NA,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62,41 - 6 - 18 - 62
061160008-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 - 6 - 18 - 62,41 - 6 - 18 - 62
061164100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061164100-2,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061164200-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,81 - 6 - 18 - 62,81 - 6 - 18 - 62,81 - 6 - 18 - 62,81 - 6 - 18 - 62,81 - 6 - 18 - 62,81 - 6 - 18 - 62
061170000-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061170006-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061170006-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62
061190000-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,71 - 71 - 18 - 62,71 - 71 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061220002-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,40 - 7 - 18 - 62
061220009-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52 - 7 - 18 - 62,52 - 7 - 18 - 62,52 - 7 - 18 - 62
061250000-7,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 16 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061250000-12,NA,NA,NA,12 - 73 - 14 - 62,12 - 73 - 14 - 62,140 - 1 - 16 - 62,60 - 2 - 16 - 62,60 - 2 - 16 - 62,60 - 2 - 16 - 62,60 - 2 - 16 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061250008-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061294100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061294100-2,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,10 - 11 - 13 - 62,10 - 11 - 13 - 62,10 - 11 - 13 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061300000-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 71 - 32 - 62,998 - 71 - 32 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061300000-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62,40 - 7 - 18 - 62
061304100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62,70 - 74 - 31 - 62
061304100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,61 - 16 - 32 - 62,61 - 16 - 32 - 62,61 - 16 - 32 - 62,61 - 16 - 32 - 62,61 - 16 - 32 - 62,70 - 74 - 31 - 62
062010005-1,NA,NA,NA,NA,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62
062010005-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62
062014100-2,NA,NA,NA,NA,NA,NA,NA,NA,21 - 2 - 16 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62
062014200-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57 - 8 - 18 - 62,57 - 8 - 18 - 62
062014200-3,NA,NA,NA,110 - 3 - 18 - 62,110 - 3 - 18 - 62,110 - 3 - 18 - 62,110 - 3 - 18 - 62,110 - 3 - 18 - 62,57 - 8 - 18 - 62,110 - 3 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,53 - 8 - 18 - 62,57 - 8 - 18 - 62,57 - 8 - 18 - 62
062024100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62
062030000-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062030000-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62
062033100-2,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62,60 - 10 - 32 - 62
062034200-3,NA,NA,NA,NA,NA,NA,NA,NA,10 - 76 - 32 - 62,90 - 10 - 32 - 62,80 - 10 - 32 - 62,80 - 10 - 32 - 62,80 - 10 - 32 - 62,80 - 10 - 32 - 62,80 - 10 - 32 - 62
062050000-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57 - 8 - 18 - 62
062050003-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 - 74 - 31 - 62,80 - 74 - 31 - 62,80 - 74 - 31 - 62,80 - 74 - 31 - 62,80 - 74 - 31 - 62
062070000-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 5 - 18 - 62,40 - 5 - 18 - 62,40 - 5 - 18 - 62,90 - 4 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062070003-1,80 - 4 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,50 - 12 - 18 - 62,30 - 72 - 36 - 62,30 - 72 - 36 - 62,40 - 8 - 18 - 62,40 - 8 - 18 - 62,40 - 8 - 18 - 62,54 - 8 - 18 - 62
062080001-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62
062080001-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 12 - 18 - 62,40 - 12 - 18 - 62
062080001-4,NA,NA,NA,NA,NA,NA,NA,NA,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62
062110000-6,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062110003-2,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062120005-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 10 - 18 - 62,998 - 10 - 18 - 62,60 - 3 - 18 - 62,60 - 3 - 18 - 62,91 - 71 - 18 - 62,91 - 71 - 18 - 62
062120007-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062120008-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81 - 71 - 18 - 62,81 - 71 - 18 - 62,81 - 71 - 18 - 62
062123203-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57 - 8 - 18 - 62
062123203-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57 - 8 - 18 - 62
062140000-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 7 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062140004-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062140004-2,NA,998 - 8 - 18 - 62,998 - 8 - 18 - 62,998 - 8 - 18 - 62,998 - 8 - 18 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062144100-1,NA,NA,NA,NA,NA,NA,NA,NA,50 - 8 - 18 - 62,21 - 72 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062144102-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
062150000-4,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062150000-8,NA,NA,NA,998 - 71 - 34 - 62,998 - 71 - 34 - 62,998 - 71 - 34 - 62,998 - 71 - 34 - 62,998 - 71 - 34 - 62,998 - 71 - 34 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062150000-9,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062150007-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 8 - 18 - 62,50 - 8 - 18 - 62,50 - 8 - 18 - 62,50 - 8 - 18 - 62
062150007-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 8 - 18 - 62,50 - 8 - 18 - 62,50 - 8 - 18 - 62,50 - 8 - 18 - 62
062160000-4,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062160000-7,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062170000-1,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,101 - 6 - 16 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62,50 - 5 - 18 - 62
062180000-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62
062180000-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62
062184100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62,150 - 10 - 32 - 62
062190006-1,31 - 6 - 18 - 62,60 - 2 - 16 - 62,60 - 2 - 16 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062190006-2,NA,NA,54 - 8 - 18 - 62,54 - 8 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,31 - 6 - 18 - 62,31 - 6 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062190007-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62
062194200-1,NA,NA,NA,NA,NA,NA,NA,NA,998 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062194200-3,NA,NA,NA,NA,NA,70 - 4 - 18 - 62,998 - 8 - 18 - 62,40 - 12 - 18 - 62,40 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062200005-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
062200005-2,NA,NA,NA,NA,NA,NA,NA,998 - 4 - 36 - 62,998 - 4 - 36 - 62,998 - 4 - 36 - 62,998 - 12 - 18 - 62,998 - 12 - 18 - 62,52 - 8 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062200006-1,NA,NA,NA,NA,NA,NA,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62,60 - 74 - 36 - 62
062200011-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062200011-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062210000-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 72 - 31 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062213100-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 - 15 - 35 - 62,110 - 15 - 35 - 62,110 - 15 - 35 - 62,110 - 15 - 35 - 62
062213100-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140 - 15 - 35 - 62,110 - 15 - 35 - 62,110 - 15 - 35 - 62
062220000-9,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 32 - 62,20 - 1 - 32 - 62,20 - 1 - 32 - 62,20 - 1 - 32 - 62,20 - 1 - 32 - 62,20 - 1 - 32 - 62,50 - 12 - 18 - 62
062220007-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062220007-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62
062220010-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54 - 8 - 18 - 62,54 - 8 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,54 - 8 - 18 - 62
062220010-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,54 - 8 - 18 - 62,54 - 8 - 18 - 62
062224100-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62
062224100-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62
062234100-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 12 - 18 - 62,54 - 8 - 18 - 62,57 - 8 - 18 - 62,57 - 8 - 18 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98
062240003-1,NA,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062240003-2,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62,50 - 12 - 18 - 62
062270003-1,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62,13 - 7 - 15 - 62
062280000-1,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62
062280000-2,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62
062280003-2,NA,NA,NA,NA,NA,NA,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62,21 - 5 - 15 - 62
062300004-1,NA,NA,NA,NA,NA,NA,NA,NA,80 - 71 - 18 - 62,80 - 71 - 18 - 62,80 - 71 - 18 - 62,80 - 71 - 18 - 62,50 - 71 - 31 - 62,20 - 74 - 31 - 62,20 - 74 - 31 - 62
063010003-1,NA,NA,NA,NA,NA,10 - 73 - 31 - 62,10 - 73 - 31 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62,71 - 71 - 18 - 62
063010003-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 10 - 18 - 62,30 - 10 - 18 - 62,30 - 10 - 18 - 62,30 - 10 - 18 - 62,71 - 71 - 18 - 62
063030004-2,NA,998 - 71 - 31 - 62,998 - 71 - 31 - 62,998 - 71 - 31 - 62,60 - 3 - 18 - 62,60 - 3 - 18 - 62,60 - 71 - 18 - 62,60 - 71 - 18 - 62,60 - 3 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62
063033100-1,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,52 - 8 - 18 - 62,21 - 2 - 16 - 62,21 - 2 - 16 - 62
