hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
001290005-1,NA,NA,NA,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62,91 - 3 - 12 - 62
002010000-5,30 - 14 - 12 - 62,30 - 14 - 12 - 62,30 - 14 - 12 - 62,20 - 71 - 12 - 62,20 - 71 - 12 - 62,20 - 71 - 12 - 62,34 - 14 - 12 - 62,998 - 72 - 31 - 62,998 - 72 - 31 - 62,998 - 72 - 31 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002010006-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62
002010006-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62,260 - 12 - 12 - 62
002010008-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130 - 75 - 12 - 62
002020000-11,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002040000-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002040006-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130 - 75 - 12 - 62
002044100-3,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002050000-3,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62,21 - 7 - 13 - 62
002060004-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002114300-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62
002114300-2,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002114300-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,34 - 14 - 12 - 62
002150000-1,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002150000-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002180000-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002183100-1,NA,NA,NA,NA,NA,NA,NA,NA,20 - 7 - 13 - 62,20 - 7 - 13 - 62,20 - 7 - 13 - 62,20 - 7 - 13 - 62,20 - 7 - 13 - 62,20 - 7 - 13 - 62,20 - 7 - 13 - 62
002184100-2,NA,NA,NA,NA,NA,NA,NA,NA,100 - 7 - 13 - 62,100 - 7 - 13 - 62,998 - 75 - 12 - 62,998 - 75 - 12 - 62,998 - 75 - 12 - 62,998 - 75 - 12 - 62,34 - 14 - 12 - 62
002190000-12,998 - 98 - 13 - 62,998 - 98 - 13 - 62,998 - 98 - 13 - 62,998 - 98 - 13 - 62,998 - 98 - 13 - 62,998 - 98 - 13 - 62,998 - 98 - 13 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002190000-13,NA,NA,NA,NA,NA,NA,NA,998 - 71 - 12 - 62,998 - 71 - 12 - 62,998 - 71 - 12 - 62,998 - 71 - 12 - 62,998 - 71 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002190005-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 14 - 12 - 62
002200000-1,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62
002200000-2,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62
002200000-3,NA,30 - 14 - 12 - 62,30 - 14 - 12 - 62,30 - 14 - 12 - 62,40 - 78 - 12 - 62,40 - 78 - 12 - 62,40 - 78 - 12 - 62,100 - 75 - 12 - 62,100 - 75 - 12 - 62,100 - 75 - 12 - 62,100 - 75 - 12 - 62,100 - 75 - 12 - 62,100 - 75 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62
002200000-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62,33 - 14 - 12 - 62
002220000-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
