2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,30941001
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,30941002
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,31042002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,31100031
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,31100032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,31241001
,NA,NA,NA,NA,NA,NA,NA,NA,12,34,34,34,34,34,31242001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,31300007
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,31341005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,31500031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,31500032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31700001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31700062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,12,31800007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,31800051
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,31831002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,31831004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,31,31,31,31,31842001
10 - 71 - 31 - 62,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31842002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,31931001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,31931002
30 - 71 - 13 - 62,13,13,13,21,12,12,12,12,12,12,12,12,12,12,32000041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,32432062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,32441001
,NA,NA,NA,NA,14,14,12,14,14,12,12,12,12,15,32441002
20 - 77 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,32600009
,NA,NA,NA,NA,NA,NA,98,12,14,12,12,12,12,12,32600041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,32600042
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,32600051
,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,32600052
