2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
21 - 74 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,220842001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,220842002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,220900007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,2209000010
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,220900011
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,220900012
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,11,12,220900013
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,220941001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,220942001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,12,12,220942003
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,221000052
,NA,NA,12,12,12,12,12,12,12,12,12,12,12,12,2211000016
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,221111002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,15,15,221241001
998 - 77 - 12 - 62,12,12,12,12,12,11,12,12,12,12,12,12,12,12,221400008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,98,98,12,12,221400022
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,221600003
30 - 6 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,221700001
,NA,13,33,33,36,36,36,36,13,13,13,13,13,13,221700004
152 - 22 - 33 - 62,33,33,33,33,33,33,33,33,33,33,33,33,33,33,221700021
110 - 22 - 33 - 62,33,33,33,33,33,52,52,52,52,33,33,33,33,33,221700022
21 - 74 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,221800002
40 - 6 - 14 - 62,14,14,14,14,14,14,14,14,14,14,14,14,14,14,221800071
,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,14,221800072
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,221841001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,221841002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,221900003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,221900005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,230200006
160 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,230500006
40 - 76 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2307000010
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,2307000017
,12,12,12,12,12,12,12,12,12,12,12,12,12,12,230700121
,NA,36,36,15,12,12,12,12,12,12,12,12,12,12,230700122
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,230731001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,230731002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,230731004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,230731031
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,230800001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,230800021
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,230800022
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,230800023
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,230800024
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,230800027
160 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,231000041
,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,231000042
,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,231000051
,NA,12,12,12,12,12,12,12,12,12,12,12,12,12,231000052
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,32,12,12,231000061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,231000062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,231000071
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231000072
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,231100004
190 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,231141001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,231200002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,231200004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,231200007
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,231200031
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,231200032
90 - 72 - 31 - 62,31,31,31,31,12,12,12,12,12,12,12,12,12,12,231400071
30 - 71 - 15 - 62,15,15,15,15,15,15,15,12,12,12,12,12,12,12,231400072
,NA,NA,NA,NA,NA,NA,NA,31,31,31,31,31,31,12,231700042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,231700051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,35,35,35,231700061
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,231900052
81 - 16 - 32 - 62,32,32,32,32,32,32,32,32,32,12,12,12,12,12,240100005
11 - 75 - 32 - 62,32,32,32,32,32,32,32,32,32,12,12,12,12,12,240100009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,240100041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,240100042
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,240100061
40 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,240100062
41 - 75 - 32 - 62,32,32,32,32,32,32,32,32,32,32,32,32,32,32,240141002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,240331001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,240331002
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,240411004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,240411006
240 - 12 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,240442002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,240443001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,240443002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,240444002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,240444004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240700062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,240741001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,240800081
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,240800082
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,240800097
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2408000910
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,240800131
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,240811002
,12,12,12,12,12,12,12,12,12,12,12,12,12,12,240832003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,240832005
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,240842003
,NA,NA,NA,NA,NA,NA,NA,21,12,12,12,21,21,21,240900009
20 - 10 - 32 - 62,32,32,21,21,21,21,21,21,12,12,12,21,21,21,2409000014
70 - 71 - 21 - 62,21,21,21,21,21,21,21,21,21,21,21,21,21,21,240942001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,240942005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,35,33,241100051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,241400031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241400032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,241431004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,241431008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,12,241600008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2416000015
40 - 6 - 73 - 62,73,73,73,73,73,12,12,12,12,12,12,12,12,12,2416000016
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,241600101
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,241600142
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,241611006
190 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,241611008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,241721002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,241721003
170 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,241721005
998 - 98 - 98 - 98,98,98,98,98,98,98,98,98,98,98,98,12,12,12,242000002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,242100001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,242100007
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,242100042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,32,32,32,242241001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,242300006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,242300031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,242300032
,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,242300041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,242600051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,242841001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,242841002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,242841005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,242841031
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,242841032
80 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,250131001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,250131002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,250131004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,250131031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,250400004
,NA,NA,NA,NA,NA,NA,NA,NA,31,31,12,12,12,12,250400006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,250600003
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,250600006
60 - 4 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,250600042
80 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,250641001
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,250642001
,NA,NA,NA,NA,NA,NA,NA,12,12,36,36,36,18,18,250700042
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,250800004
90 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,250800007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,250800052
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,250842002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,251000072
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,251041001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,251041002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,251042001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,251042002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,251100011
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,251100051
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,251100052
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,251141001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251141002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251200001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251200031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,251200041
998 - 98 - 98 - 98,12,12,12,12,12,12,12,12,12,12,12,12,12,12,251200081
162 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,251200082
,NA,NA,NA,NA,NA,NA,NA,14,14,12,12,12,14,12,251200083
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251231001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251231005
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,251300042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,12,12,12,12,251331001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,251331002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,251331032
80 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,251531041
,NA,NA,NA,NA,NA,NA,NA,NA,36,12,12,12,12,12,251600051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,251600061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,251600062
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251642001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251642002
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,251831001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,251831002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,251841001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,251841002
30 - 11 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,251900041
280 - 4 - 32 - 62,32,32,32,36,36,36,12,12,12,12,12,12,12,12,251900042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,12,251932096
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,260221003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,260500004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,261600007
,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,261600032
,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,261800005
,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,264100005
,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,12,264100021
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,264100032
,NA,NA,13,13,13,13,13,13,13,13,13,13,13,13,270600092
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,270641004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,270700006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2707000013
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,270832001
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,270832002
,NA,NA,NA,13,13,13,13,13,13,13,13,13,13,13,2709320010
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,270942001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,271000032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,271100032
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,271100041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,271100042
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,271100051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,271211081
,NA,13,13,13,13,13,13,13,13,13,13,13,13,13,271241003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,271300031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,271300032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,271400021
,NA,NA,NA,NA,NA,NA,NA,35,13,13,13,13,13,13,271600006
,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,271841002
,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,272031005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,272032003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,272300003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,272400041
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,272532001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,272532003
21 - 10 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,272532005
,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,2726000016
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,272632005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,2726320010
21 - 10 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,272641001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,272800081
,NA,NA,NA,NA,32,32,32,32,13,13,13,13,13,13,272811001
30 - 10 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,272811002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,272811003
,NA,NA,NA,NA,NA,NA,NA,14,14,13,13,13,13,13,272831002
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,272832001
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,272832002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,272841001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2729000010
21 - 10 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,272942002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,273000004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,273000032
,NA,13,13,13,34,34,13,13,13,13,13,13,13,13,2743000020
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,274331001
,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,274331007
,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,280100007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,280131002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,280300005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,280400003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,2804000010
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2804000011
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,280400061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,13,13,280441001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,13,13,280441002
,NA,NA,NA,NA,NA,NA,NA,15,15,15,15,13,13,13,280500008
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,280541002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,280700001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,280700002
41 - 71 - 21 - 62,21,21,21,21,21,21,21,21,21,21,21,21,21,21,280731001
41 - 71 - 21 - 62,21,21,21,21,21,21,21,21,21,21,21,21,21,21,280731002
,NA,21,21,21,21,21,21,21,21,21,21,21,21,21,280731003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,281000071
,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,13,281042001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,281200061
,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,281200062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,281300041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,281300042
,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,13,281600001
,NA,NA,NA,NA,15,15,15,13,13,13,13,13,13,13,281700004
60 - 4 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2817000011
,NA,NA,15,15,13,13,13,13,13,13,13,13,13,13,281700011
,NA,NA,13,13,13,13,13,13,13,13,13,13,13,13,281700012
,NA,NA,NA,NA,15,15,13,13,13,13,13,13,13,13,281700031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,282000001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,282000041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282100009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,282100032
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,282100041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,282100043
60 - 4 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,282500003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,282600006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,282641001
,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,282642001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,31,282700041
30 - 75 - 31 - 62,31,31,31,31,31,31,31,32,32,32,32,32,32,32,282700051
20 - 11 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,282800005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,282900031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,282900032
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,282900041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,283041004
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,290400051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,290400052
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,290500003
,NA,13,13,13,13,13,13,13,13,13,13,13,13,13,290542001
60 - 3 - 14 - 62,14,14,14,14,14,14,14,14,14,13,13,13,13,13,290600002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,290700071
60 - 71 - 13 - 62,13,13,13,13,13,18,18,14,14,13,13,13,13,13,290741001
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,290741002
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,290742001
50 - 71 - 13 - 62,13,13,13,13,31,13,13,13,13,13,13,13,13,13,290742002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,290900071
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,290941001
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,290941002
10 - 71 - 36 - 62,32,32,13,13,13,13,13,13,13,13,13,13,13,13,290942001
130 - 3 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,291200006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,291200041
,NA,NA,NA,NA,NA,NA,36,36,36,36,36,36,36,36,291300001
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,36,36,291300061
,NA,NA,NA,NA,NA,NA,36,36,36,36,36,36,36,36,291331001
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,291600004
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,291600007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,291700061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,291700062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,13,13,13,13,291700111
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,291700131
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,291731005
,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,291741003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,291800062
,NA,NA,NA,NA,NA,NA,36,36,13,13,13,13,13,13,292200002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,292400003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,292441001
,NA,NA,NA,33,33,33,33,13,13,13,13,13,14,14,292441002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,292600051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,300111001
,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,300300007
,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,300300009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,300300101
,14,14,14,14,14,14,14,14,14,14,14,14,14,14,300331001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,300342001
30 - 75 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,300400005
30 - 75 - 13 - 62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,300400006
998 - 98 - 31 - 62,31,31,31,31,31,31,31,31,31,31,31,31,31,31,300600031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,301000031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,301011002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,301011003
,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,14,301200035
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,51,51,301600003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,301731001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,301731002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,301731003
140 - 7 - 35 - 62,11,11,13,13,13,13,13,13,13,13,13,13,13,13,301900006
